iter	Passed	Remaining
0	1	149
1	2	144
2	4	141
3	5	132
4	7	133
5	8	132
6	9	132
7	11	128
8	12	124
9	13	120
10	14	116
11	15	113
12	16	110
13	17	107
14	18	105
15	19	102
16	20	100
17	21	97
18	22	95
19	23	93
20	24	91
21	25	89
22	26	88
23	27	86
24	28	84
25	29	83
26	30	81
27	31	79
28	32	78
29	33	77
30	34	75
31	34	74
32	35	72
33	36	71
34	37	70
35	38	68
36	39	67
37	40	66
38	41	64
39	42	63
40	43	62
41	43	60
42	44	58
43	45	57
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	49
51	53	48
52	53	47
53	54	46
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	76	24
76	77	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	85	16
84	86	15
85	87	14
86	88	13
87	89	12
88	90	11
89	91	10
90	92	9
91	93	8
92	94	7
93	95	6
94	96	5
95	97	4
96	98	3
97	99	2
98	100	1
99	101	0
